Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Leona,Alleslev,Aurora—Oak Ridges—Richmond Hill,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Dean,Allison,Niagara West,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,William,Amos,Pontiac,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Anita,Anand,Oakville,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Chandra,Arya,Nepean,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jenica,Atwin,Fredericton,New Brunswick,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Vance,Badawey,Niagara Centre,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Larry,Bagnell,Yukon,Yukon,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Navdeep,Bains,Mississauga—Malton,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,John,Barlow,Foothills,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jaime,Battiste,Sydney—Victoria,Nova Scotia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
