,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",8837138,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"First Class","Jack Harlow",4735008,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
3,"Heat Waves","Glass Animals",3913955,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,PROVENZA,"KAROL G",3473184,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
5,"STAY (with Justin Bieber)","The Kid LAROI",3202739,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
6,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",3030748,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
7,"About Damn Time",Lizzo,2915064,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
8,"Cold Heart - PNAU Remix","Elton John",2673643,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
9,"MIDDLE OF THE NIGHT","Elley Duhé",2614681,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
10,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2587158,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
11,MAMIII,"Becky G",2535502,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
12,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2526933,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
13,"Una Noche en Medellín","Cris Mj",2511418,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
14,Ghost,"Justin Bieber",2342744,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
15,"WAIT FOR U (feat. Drake & Tems)",Future,2324341,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
16,Envolver,Anitta,2278635,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
17,Shivers,"Ed Sheeran",2205356,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
18,Desesperados,"Rauw Alejandro",2175663,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
19,Woman,"Doja Cat",2154483,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
20,abcdefu,GAYLE,2153390,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
21,"X ÚLTIMA VEZ","Daddy Yankee",2050641,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
22,"Where Are You Now","Lost Frequencies",1993274,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
23,"good 4 u","Olivia Rodrigo",1982471,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
24,"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap,1976013,https://open.spotify.com/track/2uky0VCI2EZni0nArOPznM
